"mbr_id","mbr_name"
"46","10or"
"1","Acer"
"41","Amazon"
"21","Apple"
"20","ASUS"
"22","BlackBerry"
"23","Bosch"
"2","Casio"
"3","Celkon"
"43","Cherry Mobile"
"24","Dell"
"4","Ericsson"
"25","Gionee"
"44","google"
"5","Haier"
"48","HONOR"
"26","HP"
"6","HTC"
"27","HuaWei"
"51","Infinix"
"28","Intex"
"29","Karbonn"
"30","Lava"
"7","Lenovo"
"31","LG"
"49","lge"
"32","Micromax"
"8","Microsoft"
"9","Mitsubishi"
"10","Motorola"
"33","Nokia"
"11","Nvidia"
"12","OnePlus"
"34","Oppo"
"13","Orange"
"42","Other"
"14","Panasonic"
"35","Philips"
"50","Realme"
"52","Redmi"
"15","Samsung"
"16","Siemens"
"17","Sony"
"36","Sony Ericsson"
"18","Spice"
"37","Toshiba"
"45","vivo"
"38","Vodafone"
"47","vsmart"
"39","Xiaomi"
"19","XOLO"
"40","ZTE"
