"os_id","os_type_id","os_name","os_desc","os_image"
"1","1","Windows Xp","Windows Xp","xp.png"
"2","1","Windows 7","Windows 7","w10.png"
"3","1","Windows 8","Windows 8","w10.png"
"4","1","Windows 10","Windows 10","w10.png"
"5","1","Windows 8.1","Windows 8.1","w10.png"
"16","3","Mac os X 10.6","Mac os X 10.6","ios.png"
"8","5","Ubuntu 10.04","Ubuntu 10.04","linux.png"
"9","5","Ubuntu 11.04","Ubuntu 11.04","linux.png"
"10","5","Ubuntu 11.10","Ubuntu 11.10","linux.png"
"11","5","Ubuntu 12.04","Ubuntu 12.04","linux.png"
"12","5","Ubuntu 12.10","Ubuntu 12.10","linux.png"
"13","5","Ubuntu 13.04","Ubuntu 13.04","linux.png"
"14","5","Ubuntu 13.10","Ubuntu 13.10","linux.png"
"15","5","Ubuntu 14.04","Ubuntu 14.04","linux.png"
"17","3","Mac OS X 10.7","Mac OS X 10.7","ios.png"
"18","3","OS X 10.8","OS X 10.8","ios.png"
"19","3","OS X 10.9","OS X 10.9","ios.png"
"20","3","OS X 10.10","OS X 10.10","ios.png"
"21","3","OS X 10.11","OS X 10.11","ios.png"
"22","3","Mac OS 10.12","Mac OS 10.12","ios.png"
"23","5","Ubuntu 16.04","Ubuntu 16.04","linux.png"
"24","5","Ubuntu 17.04","Ubuntu 17.04","linux.png"
"25","5","Ubuntu 18.04","Ubuntu 18.04","linux.png"
"26","4","Android 4.4 (KitKat)","Android 4.4 (KitKat)","android.png"
"27","4","Android 5.0 (Lollipop)","Android 5.0 (Lollipop)","android.png"
"28","4","Android 5.1 (Lollipop)","Android 5.1 (Lollipop)","android.png"
"29","4","Android 6.0 (Marshmallow)","Android 6.0 (Marshmallow)","android.png"
"30","4","Android 7.0 (Nougat)","Android 7.0 (Nougat)","android.png"
"31","4","Android 7.1 (Nougat)","Android 7.1 (Nougat)","android.png"
"32","4","Android 8.0(Oreo)","Android 8.0(Oreo)","android.png"
"33","4","Android 8.1(Oreo)","Android 8.1(Oreo)","android.png"
"34","4","Android 9.0 (Pie)","Android 9.0 (Pie)","android.png"
"35","6","iOS 9.1","iOS 9.1","ios.png"
"36","6","iOS 9.2","iOS 9.2","ios.png"
"37","6","iOS 9.3","iOS 9.3","ios.png"
"38","6","iOS 10.0","iOS 10.0","ios.png"
"39","6","iOS 10.1","iOS 10.1","ios.png"
"40","6","iOS 10.2","iOS 10.2","ios.png"
"41","6","iOS 10.3","iOS 10.3","ios.png"
"42","6","iOS 11.0","iOS 11.0","ios.png"
"43","6","iOS 11.1","iOS 11.1","ios.png"
"44","6","iOS 11.2","iOS 11.2","ios.png"
"45","6","iOS 11.3","iOS 11.3","ios.png"
"46","6","iOS 12.0","iOS 12.0","ios.png"
"47","6","iOS 9.0","iOS 9.0","ios.png"
"48","7","Fire OS 5","For Echo and Alexa devices","android.png"
"49","7","Fire OS 6","For Echo and Alexa devices","android.png"
"50","4","Android 10.0","Android 10.0","android.png"
"51","6","iOS 13.0","iOS 13.0","ios.png"
"52","4","android 11.0","android 11.0","android.png"
"53","6","iOS 14.0","iOS 14.0","ios.png"
"54","4","Android 12.0",NULL,
"55","6","iOS 15",NULL,
"56","3","Mac OS 11",NULL,
"57","3","Mac OS 12",NULL,
"58","6","iOS 16.7","iOS 16.7","iOS.png"
"60","4","Android 13.0","Android 13.0","android.png"
"61","4","Android 14.0","Android 14.0","android.png"
"62","1","Windows 11","Windows 11",
