"sname_id","sname_cat_id","sname_name","sname_identifier"
"1","1","Telecom","telecom"
"2","1","BFSI","bfsi"
"3","1","Health Care","health-care"
"4","1","E Commerce","e-commerce"
"5","1","Automobile","automobile"
"6","1","Embedded","embedded"
"7","2","Manual Testing","manual-testing"
"8","2","Automation Testing","automation-testing"
"9","3","Selenium","selenium"
"10","3","QTP","qtp"
"11","3","Load Runner","load-runner"
"12","3","Jmeter","jmeter"
"13","3","Robotium","robotium"
"14","3","Appium","appium"
"15","3","Sahi","sahi"
"16","3","Git","git"
"17","4","Android","android"
"18","4","iOS","ios"
"19","4","Web","web"
"20","4","Desktop","desktop"
"21","2","Usability Testing(UX)","UX"
"22","2","Security Testing(Sc)","Sc"
"23","2","Game Testing","game-testing"
"24","2","Performance Testing","performance-testing"
"25","2","Localisation Testing","Ln"
"26","2","API Testing","At"
